treatment,concentration,percentage,Antho_type
1,0.041325052,18.28264481,di_hydroxylated
1,0.036125096,18.51669944,di_hydroxylated
1,0.036620057,17.98085752,di_hydroxylated
1,0.041138109,19.00468151,di_hydroxylated
1,0.041479133,18.69405812,di_hydroxylated
1,0.036290775,19.38105481,di_hydroxylated
2,0.035677524,16.81050567,di_hydroxylated
2,0.037315389,16.73416917,di_hydroxylated
2,0.03973535,16.86421858,di_hydroxylated
2,0.068765747,19.78739317,di_hydroxylated
2,0.057903653,18.41241769,di_hydroxylated
2,0.053736772,18.14694064,di_hydroxylated
2,0.033691038,17.91386163,di_hydroxylated
2,0.028357426,18.4248978,di_hydroxylated
2,0.02627198,18.91427028,di_hydroxylated
3,0.047631655,19.67179552,di_hydroxylated
3,0.043165553,20.64224096,di_hydroxylated
3,0.057662869,20.27877468,di_hydroxylated
3,0.047815831,19.6119352,di_hydroxylated
3,0.042783081,19.95316907,di_hydroxylated
3,0.044180017,19.26798454,di_hydroxylated
3,0.058836585,23.73548742,di_hydroxylated
3,0.055554745,23.08659672,di_hydroxylated
3,0.063130597,23.02245975,di_hydroxylated
1,0.184709269,81.71735519,tri_hydroxylated
1,0.158969587,81.48330056,tri_hydroxylated
1,0.167041293,82.01914248,tri_hydroxylated
1,0.175324919,80.99531849,tri_hydroxylated
1,0.180404915,81.30594188,tri_hydroxylated
1,0.150957936,80.61894519,tri_hydroxylated
2,0.176555974,83.18949433,tri_hydroxylated
2,0.185673803,83.26583083,tri_hydroxylated
2,0.195883929,83.13578142,tri_hydroxylated
2,0.278757278,80.21260683,tri_hydroxylated
2,0.256577877,81.58758231,tri_hydroxylated
2,0.242383509,81.85305936,tri_hydroxylated
2,0.154381409,82.08613837,tri_hydroxylated
2,0.125550758,81.5751022,tri_hydroxylated
2,0.112628328,81.08572972,tri_hydroxylated
3,0.194500054,80.32820448,tri_hydroxylated
3,0.165947174,79.35775904,tri_hydroxylated
3,0.226687987,79.72122532,tri_hydroxylated
3,0.195994025,80.3880648,tri_hydroxylated
3,0.171634392,80.04683093,tri_hydroxylated
3,0.185112347,80.73201546,tri_hydroxylated
3,0.189047875,76.26451258,tri_hydroxylated
3,0.18508161,76.91340328,tri_hydroxylated
3,0.211082487,76.97754025,tri_hydroxylated
