treatment,concetration,Antho_type,percentage
1,0.047179481,di_hydroxylated,11.16269246
1,0.049776846,di_hydroxylated,11.33403353
1,0.042904439,di_hydroxylated,11.47031431
1,0.049406387,di_hydroxylated,11.48888989
1,0.054118087,di_hydroxylated,12.0764852
1,0.053622463,di_hydroxylated,12.12812366
2,0.063614739,di_hydroxylated,10.67735496
2,0.058313672,di_hydroxylated,10.6989474
2,0.061266448,di_hydroxylated,10.62905369
2,0.071925217,di_hydroxylated,12.88418196
2,0.062050923,di_hydroxylated,12.28269817
2,0.067952925,di_hydroxylated,13.24680117
2,0.052373798,di_hydroxylated,10.55803934
2,0.053892083,di_hydroxylated,11.35216697
2,0.049127817,di_hydroxylated,11.03765525
3,0.058980307,di_hydroxylated,11.71348916
3,0.04934323,di_hydroxylated,12.09435027
3,0.050307427,di_hydroxylated,12.13926855
3,0.062104251,di_hydroxylated,12.95340958
3,0.064163702,di_hydroxylated,13.03167777
3,0.063532995,di_hydroxylated,12.61911375
3,0.070775277,di_hydroxylated,12.84343765
3,0.063303356,di_hydroxylated,13.07824977
3,0.065031878,di_hydroxylated,13.38944044
1,0.375473757,tri_hydroxylated,88.83730754
1,0.389403485,tri_hydroxylated,88.66596647
1,0.331143194,tri_hydroxylated,88.52968569
1,0.380629824,tri_hydroxylated,88.51111011
1,0.394009711,tri_hydroxylated,87.9235148
1,0.388510755,tri_hydroxylated,87.87187634
2,0.532176438,tri_hydroxylated,89.32264504
2,0.486727532,tri_hydroxylated,89.3010526
2,0.515139031,tri_hydroxylated,89.37094631
2,0.486319125,tri_hydroxylated,87.11581804
2,0.443138752,tri_hydroxylated,87.71730183
2,0.445023183,tri_hydroxylated,86.75319883
2,0.443682301,tri_hydroxylated,89.44196066
2,0.420837399,tri_hydroxylated,88.64783303
2,0.395965056,tri_hydroxylated,88.96234475
3,0.444544357,tri_hydroxylated,88.28651084
3,0.358642557,tri_hydroxylated,87.90564973
3,0.364111507,tri_hydroxylated,87.86073145
3,0.417339022,tri_hydroxylated,87.04659042
3,0.428203462,tri_hydroxylated,86.96832223
3,0.439933381,tri_hydroxylated,87.38088625
3,0.480286513,tri_hydroxylated,87.15656235
3,0.420732026,tri_hydroxylated,86.92175023
3,0.420663385,tri_hydroxylated,86.61055956
